ID,Plz,Ort,Bundesland,Energieträger,Technologie,Engpassleistung (kW <sub>el</sub>),Eingespeister Strom (kWh) 2026,Eingespeister Strom (kWh) 2025,Eingespeister Strom (kWh) 2024,Eingespeister Strom (kWh) 2023,Eingespeister Strom (kWh) 2022,Eingespeister Strom (kWh) 2021
539,8093,Sankt Peter/Ottersbach,ST,,Biogas,499,1432760,4312815,4381329,4221590,4293455,4207252
14,6353,Going am Wilden Kaiser,T,,Klärgas,95,134995,521107,457742,136211,170883,166875
16,6300,Wörgl,T,,Deponiegas,450,49227,178240,1484016,1597217,1716498,1440343
28,6322,Kirchbichl,T,,Deponiegas,500,124884,687068,1403502,321867,1368138,1407259
42,6112,Wattens,T,,Biogas,100,64490,411671,515056,505926,751351,661333
47,6306,Söll,T,,Biogas,112,8174,35736,48628,5088,0,0
51,6143,Mühlbachl,T,,Klärgas,29,0,0,0,0,0,0
54,9782,Nikolsdorf,T,,Biogas,250,318154,970799,899980,976100,1049142,968121
83,6353,Going am Wilden Kaiser,T,,Biogas,550,24172,261801,89259,0,0,0
84,6677,Schattwald,T,,Klärgas,40,0,0,36807,0,0,0
91,6167,Neustift im Stubaital,T,,Biogas,50,0,0,0,0,0,0
102,6274,Aschau im Zillertal,T,,Biogas,150,6014,16503,8712,8583,0,0
104,6341,Ebbs,T,,Klärgas,71.52,202,72917,33355,0,0,0
116,6677,Zöblen,T,,Biogas,25,0,0,0,0,0,0
119,6561,Ischgl,T,,Klärgas,25,46673,17071,0,0,0,0
120,6300,Wörgl,T,,Deponiegas,280,0,0,0,0,0,0
138,6130,Schwaz,T,,Klärgas,340,15785,65073,22486,0,0,0
152,6122,Fritzens,T,,Klärgas,330,0,0,0,0,0,0
153,6162,Mutters,T,,Biogas,30,0,0,0,0,0,0
156,6682,Vils,T,,Klärgas,86,6842,32587,30107,36300,54529,24994
162,6345,Kössen,T,,Biogas,37,15756,34359,26209,38872,28313,25137
199,6241,Radfeld,T,,Klärgas,233.3,62842,242277,217251,0,0,0
206,6426,Roppen,T,,Biogas,500,981343,2754298,2653883,2672744,2190393,1942357
217,6220,Buch in Tirol,T,,Biogas,15,1252,11306,8141,3555,2865,2191
222,6347,Rettenschöss,T,,Biogas,7,0,0,0,0,0,95
251,6020,Innsbruck,T,,Biogas,249,51195,131010,1479,569054,926157,1175543
252,6353,Going am Wilden Kaiser,T,,Biogas,550,0,0,327722,0,0,0
253,6426,Roppen,T,,Biogas,330,0,0,0,0,0,0
259,6401,Inzing,T,,Biogas,55,0,0,0,0,0,0
276,6020,Innsbruck,T,,Deponiegas,124,0,0,0,0,258782,0
289,6541,Tösens,T,,Klärgas,57,3057,21993,21875,32349,9091,1668
293,6261,Strass im Zillertal,T,,Klärgas,614,59658,712087,1093208,1525092,1316161,1031605
296,6426,Roppen,T,,Deponiegas,70,0,0,0,0,0,0
300,6345,Kössen,T,,Biogas,198,572836,1526949,1613947,1622830,1583636,1323170
325,6170,Zirl,T,,Biogas,180,10565,38198,24970,52964,84975,54398
329,6384,Waidring,T,,Biogas,30,0,0,0,0,0,0
371,9991,Dölsach,T,,Klärgas,180,12694,56011,0,0,0,0
374,6572,Flirsch,T,,Klärgas,33,3887,21124,15793,17401,13337,14930
380,6141,Schönberg im Stubaital,T,,Deponiegas,286,0,0,0,0,0,0
390,6262,Schlitters,T,,Biogas,350,753541,3043147,2831901,770788,1835786,3036655
406,6380,St Johann in Tirol,T,,Biogas,750,2108457,6490535,6509353,6072811,6373005,6179510
410,6170,Zirl,T,,Klärgas,180,10565,38198,24970,52964,84975,54398
415,6383,Erpfendorf,T,,Biogas,350,341,3006,7646,1188,0,0
416,6561,Ischgl,T,,Biogas,33,3988,2404,14041,10654,0,0
422,6020,Innsbruck,T,,Klärgas,1670,10718,110600,100907,225013,122344,121624
425,9782,Nikolsdorf,T,,Biogas,250,0,0,0,0,0,0
435,6322,Kirchbichl,T,,Biogas,500,124884,687068,1403502,321867,1368138,1407259
442,6283,Tulln,T,,Biogas,30,0,0,0,0,0,0
458,6020,Innsbruck,T,,Deponiegas,248,319690,1275006,1428563,1331474,1021741,0
459,6370,Kitzbühel,T,,Klärgas,119.24,33352,131603,94243,55255,0,0
473,6220,Buch in Tirol,T,,Biogas,100,42806,233660,250345,228174,199925,233755
474,6363,Westendorf,T,,Klärgas,65,347,253,1632,5444,0,0
478,6383,Kirchdorf in Tirol,T,,Klärgas,100,7616,66665,70580,298049,384946,262384
479,6450,Sölden,T,,Klärgas,372.8,164,1656,1512,1648,4278,2676
488,6122,Fritzens,T,,Klärgas,142,0,0,0,0,0,0
502,6213,Pertisau,T,,Biogas,30,0,0,0,0,0,0
519,6290,Mayrhofen,T,,Biogas,30,0,0,0,14446,8544,2832
528,6122,Fritzens,T,,Klärgas,637,172961,1181625,1267151,942219,496629,248640
